start5_mean,start10_mean,start15_mean,start20_mean,start25_mean,start30_mean,start35_mean,start40_mean,start5_sd,start10_sd,start15_sd,start20_sd,start25_sd,start30_sd,start35_sd,start40_sd
0.321209974,0.294753316,0.277460937,0.262027801,0.241308284,0.223119723,0.205147014,0.18377658,0.027742974,0.023124911,0.023272066,0.021414947,0.024523566,0.021860789,0.02126199,0.020506223
0.314501651,0.291608783,0.274363911,0.256551621,0.238021963,0.222322794,0.200950877,0.180906812,0.025989104,0.021820945,0.023480373,0.021505572,0.02286672,0.019487326,0.023663054,0.025017698
0.31126098,0.2867608,0.273043781,0.255026054,0.237009744,0.217239037,0.198125407,0.179995975,0.024612031,0.023367504,0.022344129,0.019335534,0.01936955,0.021188363,0.021366476,0.026147014
0.308692555,0.287008577,0.268818979,0.248871924,0.230261106,0.213437169,0.195635295,0.172733505,0.028775368,0.023575437,0.019767236,0.020085031,0.019365015,0.022943208,0.021649264,0.02282829
0.304112683,0.282482015,0.268388608,0.247634612,0.230927218,0.207000782,0.19359172,0.169101663,0.027367796,0.022750758,0.023781273,0.021459285,0.024303299,0.020669404,0.022024858,0.021464138
0.300579525,0.277637433,0.261795149,0.243391975,0.225144823,0.208580926,0.18635921,0.164208858,0.023785661,0.021370819,0.019816999,0.021621138,0.021107342,0.019485477,0.024927372,0.02136867
0.298056002,0.274776512,0.261382149,0.236888593,0.217877069,0.202066974,0.182076973,0.159600221,0.025386482,0.025219401,0.021930342,0.020241886,0.022166228,0.020813402,0.022528131,0.023058156
0.291599785,0.27074268,0.25344658,0.240162071,0.219492911,0.195446724,0.178779718,0.160909715,0.02425265,0.022306195,0.020239562,0.018407787,0.020469775,0.022153756,0.023254962,0.021441182
0.288447229,0.265409496,0.252332735,0.229937414,0.210843659,0.194077625,0.170204841,0.150652649,0.023572283,0.022410428,0.023567634,0.022836553,0.020207637,0.023010323,0.024967815,0.023299697
0.286783255,0.262600504,0.24377863,0.229727463,0.209786232,0.191040113,0.171571201,0.150100096,0.026793092,0.023343949,0.021091892,0.022620162,0.023349525,0.02037918,0.021597298,0.024332808
0.28406622,0.261267342,0.239126067,0.225268989,0.204296096,0.182618616,0.167008636,0.145965847,0.022372645,0.025630474,0.024836853,0.019308135,0.022756674,0.020882784,0.023794569,0.02254908
0.279811458,0.2583016,0.242540454,0.21888053,0.203440961,0.177015293,0.160959322,0.145117537,0.024461562,0.023104228,0.024526847,0.019608423,0.023277716,0.020631529,0.023722512,0.022331074
0.273463281,0.253256243,0.234611623,0.213546697,0.198348214,0.177264177,0.157139246,0.141588842,0.024020684,0.019853321,0.023448113,0.019827391,0.022253107,0.020994552,0.021876168,0.022085472
0.270688286,0.24707754,0.230985006,0.215390078,0.194545039,0.170228104,0.14946907,0.134611311,0.02531134,0.021759132,0.020486998,0.023791527,0.024534674,0.022392,0.021647114,0.023727321
0.266688026,0.247900558,0.22861572,0.207798138,0.186733827,0.171249651,0.148755555,0.13182272,0.022863814,0.021676512,0.019880594,0.019656397,0.022701949,0.020970222,0.021031556,0.024493349
0.263791489,0.247107172,0.22598354,0.206663278,0.188020745,0.168368554,0.145933019,0.130953139,0.022057128,0.02226167,0.02459196,0.022285217,0.024117775,0.023246311,0.022969568,0.022853347
0.256339581,0.238509927,0.220119552,0.201496458,0.179978295,0.15751401,0.143001241,0.127923756,0.020837988,0.021464556,0.021817041,0.022765031,0.021332584,0.025048656,0.02142005,0.02729858
0.261775687,0.237689312,0.21804445,0.197939462,0.178248229,0.156928974,0.14002133,0.118744838,0.023336487,0.021773311,0.018945278,0.023841493,0.020425844,0.021481444,0.023459003,0.019230869
0.251896981,0.231930825,0.214091433,0.189822355,0.174987909,0.157524867,0.130949734,0.114944661,0.023465304,0.022389921,0.024097964,0.02289701,0.022916355,0.022554644,0.025336652,0.023425776
